Pathway Name,Genes,Edges,Final Decision,Rationale Summary
cell-cell signaling,85,42,Remove,Tier 3: Very large and too general. Redundant with more specific pathways. High noise potential.
chemical synaptic transmission,59,57,Remove,"Tier 4: Large, highly connected, and completely irrelevant context (neuronal function). Clear noise."
spermatogenesis,74,6,Remove,"Tier 4: Very large, irrelevant developmental process. Clear noise."
female gamete generation,14,5,Remove,Tier 4: Irrelevant developmental process. Clear noise.
regulation of mitotic cell cycle,14,16,Keep,"Tier 1: Core ""Hallmark of Cancer."""
outflow tract morphogenesis,19,18,Remove,Tier 4: Irrelevant organ development process. Clear noise.
aortic valve morphogenesis,18,18,Remove,Tier 4: Irrelevant organ development process. Clear noise.
DNA replication,21,51,Keep,"Tier 1: Core ""Hallmark of Cancer."" High connectivity is justified by its central role in proliferation."
base-excision repair,13,2,Keep,Tier 1: Core DNA Damage Response (DDR) pathway.
nucleotide-excision repair,15,35,Keep,"Tier 1: Core DDR pathway, highly relevant to chemotherapy response."
transcription initiation at RNA polymerase II promoter,19,4,Keep,"Tier 1: Fundamental mechanism of gene expression, a core cancer process."
protein dephosphorylation,22,30,Keep,"Tier 1: The ""off-switch"" for kinase signaling. Core to cancer biology."
protein import into nucleus,16,1,Keep,"Tier 2: Fundamental process for transcription factor function. Excellent ""Discovery"" candidate."
intracellular calcium ion homeostasis,35,1,Keep,"Tier 2: Core homeostasis relevant to signaling. Excellent ""Discovery"" candidate."
intracellular iron ion homeostasis,20,4,Keep,"Tier 2: Core homeostasis relevant to metabolism/ROS. Excellent ""Discovery"" candidate."
phagocytosis,15,2,Keep,"Tier 2: Plausible role in drug uptake. Valid biological process. ""Discovery"" candidate."
apoptotic process,79,209,Keep,"Tier 1: Core ""Hallmark."" Extreme size/connectivity is justified by its role as a master biological hub."
humoral immune response,13,2,Remove,"Tier 4: Systemic immune process, not an intrinsic cancer cell pathway. Clear noise."
mitochondrion organization,38,34,Keep,Tier 1: Core organelle for metabolism and apoptosis. Size is justified.
actin filament organization,20,1,Keep,Tier 1: Core machinery for metastasis.
Golgi organization,35,5,Keep,Tier 1: Core organelle for protein secretion/processing. Size is justified.
mitotic spindle assembly checkpoint signaling,11,5,Keep,Tier 1: Core cell cycle checkpoint.
mitotic G2 DNA damage checkpoint signaling,14,27,Keep,Tier 1: Core cell cycle checkpoint.
centrosome cycle,17,4,Keep,Tier 1: Core cell cycle process linked to genomic instability.
centriole replication,11,2,Keep,Tier 1: Core cell cycle process linked to genomic instability.
G2/M transition of mitotic cell cycle,12,29,Keep,Tier 1: Core cell cycle checkpoint.
negative regulation of transcription by RNA polymerase II,272,297,Remove,Tier 3: Too large and general. Adds significant noise and is better captured by specific regulatory pathways.
establishment of mitotic spindle orientation,14,5,Keep,"Tier 1: Core process in cell division, related to genomic stability."
mitotic cytokinesis,20,2,Keep,"Tier 1: Final, essential step of cell proliferation."
telomere maintenance,15,5,Keep,"Tier 1: Core ""Hallmark of Cancer."""
double-strand break repair via homologous recombination,35,39,Keep,"Tier 1: Core DNA Damage Response pathway, key to therapy. Size/connectivity is justified."
skeletal system development,34,12,Remove,Tier 4: Irrelevant organ development process. Clear noise.
vasculogenesis,11,1,Keep,"Tier 2: Plausible developmental pathway to be reactivated in cancer. Good ""Discovery"" candidate."
osteoblast differentiation,17,27,Remove,"Tier 4: Consistent removal. Describes an external process, not an intrinsic cancer cell one."
in utero embryonic development,10,3,Remove,Tier 4: Irrelevant developmental process. Clear noise.
neuron migration,20,8,Remove,Tier 4: Irrelevant neuro-specific process. Clear noise.
epithelial to mesenchymal transition,20,64,Keep,"Tier 1: Core ""Hallmark of Cancer."" High connectivity is justified by its master-regulator role."
positive regulation of protein phosphorylation,26,31,Keep,"Tier 1: Core signaling concept, representing the ""on-switch"" for kinase pathways."
positive regulation of endothelial cell proliferation,20,6,Keep,Tier 1: Represents the cancer cell's pro-angiogenic output.
heart looping,16,2,Remove,Tier 4: Irrelevant organ development process. Clear noise.
positive regulation of cell-matrix adhesion,11,9,Keep,Tier 1: Core process for metastasis.
chondrocyte differentiation,13,2,Remove,Tier 4: Irrelevant specialized differentiation program. Clear noise.
positive regulation of receptor internalization,10,5,Keep,Tier 1: Core pharmacological process related to drug resistance.
response to ischemia,11,1,Keep,Tier 1: Core stress response to the tumor microenvironment.
outflow tract septum morphogenesis,11,22,Remove,Tier 4: Irrelevant organ development process. Clear noise.
autophagosome assembly,18,1,Keep,"Tier 1: Core mechanistic step in autophagy, a key cancer survival pathway."
DNA damage checkpoint signaling,15,23,Keep,"Tier 1: Core ""Hallmark of Cancer"" (genome instability) and central to therapy response."
regulation of cyclin-dependent protein serine/threonine kinase activity,12,16,Keep,Tier 1: Core cell cycle regulation and the direct target of a major drug class (CDK inhibitors).
G1/S transition of mitotic cell cycle,20,64,Keep,Tier 1: Core cell cycle checkpoint. High connectivity is justified by its role as a master regulatory hub.
